state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,fetch_timestamp,data_type
Andhra Pradesh,Guntur,Guntur APMC,Wheat,Standard,FAQ,06/11/2025,1948.82,2270.9,2133.21,2026-01-09T01:57:25.652866,agmarknet_data
Arunachal Pradesh,Arunachal Pradesh Main,Arunachal Pradesh Main APMC,Wheat,Standard,FAQ,06/11/2025,2013.72,2381.19,2183.21,2026-01-09T01:57:25.656610,agmarknet_data
Assam,Silchar,Silchar APMC,Wheat,Standard,FAQ,06/11/2025,1766.1,2057.99,1933.21,2026-01-09T01:57:25.671743,agmarknet_data
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,Standard,FAQ,06/11/2025,1766.1,2057.99,1933.21,2026-01-09T01:57:25.683960,agmarknet_data
Chhattisgarh,Durg,Durg APMC,Wheat,Standard,FAQ,06/11/2025,1880.3,2191.06,2058.21,2026-01-09T01:57:25.697534,agmarknet_data
Goa,Goa Main,Goa Main APMC,Wheat,Standard,FAQ,06/11/2025,2013.72,2381.19,2183.21,2026-01-09T01:57:25.702742,agmarknet_data
Gujarat,Surat,Surat APMC,Wheat,Standard,FAQ,06/11/2025,2009.28,2278.45,2183.21,2026-01-09T01:57:25.710504,agmarknet_data
Haryana,Hisar,Hisar APMC,Wheat,Standard,FAQ,06/11/2025,2078.31,2356.72,2258.21,2026-01-09T01:57:25.715581,agmarknet_data
Himachal Pradesh,Himachal Pradesh Main,Himachal Pradesh Main APMC,Wheat,Standard,FAQ,06/11/2025,2129.01,2517.52,2308.21,2026-01-09T01:57:25.720264,agmarknet_data
Jharkhand,Dhanbad,Dhanbad APMC,Wheat,Standard,FAQ,06/11/2025,1834.62,2137.83,2008.21,2026-01-09T01:57:25.724778,agmarknet_data
Karnataka,Hubli,Hubli APMC,Wheat,Standard,FAQ,06/11/2025,2009.28,2278.45,2183.21,2026-01-09T01:57:25.728549,agmarknet_data
